pid,lat,lon
60016|0231593900|0152339670,42.05417252,-87.85105896
60016|0523189566|3148893852,42.04665756,-87.85694122
60016|0635205008|2388118282,42.06505203,-87.86852264
60016|0929696541|0085144802,42.03930283,-87.86283875
60016|1026383419|0052430902,42.03956604,-87.85655212
60016|1101507728|3404293007,42.04711151,-87.85596466
60016|1301403662|3712945528,42.04033661,-87.85356140
60016|1637101553|1679380143,42.03958511,-87.85655212
60016|1646861781|4036877168,42.04801559,-87.85510254
60016|1809529305|0758297948,42.04833984,-87.84761047
60016|1809854322|4118123418,42.05276871,-87.85376740
60016|1978749518|2574248412,42.05829620,-87.86682129
60016|2043137886|4174842040,42.04427719,-87.85314178
60016|2153464009|0783957191,42.04335022,-87.85270691
60016|2193126856|2372412814,42.04463196,-87.85765839
60016|2228568476|0715390642,42.04448700,-87.85540009
60016|2281655420|1541195398,42.05832672,-87.86588287
60016|2388554697|1904944725,42.04685211,-87.85149384
60016|2403460779|1700202401,42.04448700,-87.85540009
60016|2516001319|2619188637,42.04291534,-87.84535980
60016|2553536004|1712348231,42.03921890,-87.86507416
60016|2609607445|2379217629,42.04796982,-87.85007477
60016|2687889291|2348693841,42.04502869,-87.84981537
60016|2703097990|1115112256,42.04680252,-87.85342407
60016|2907898583|1890304357,42.04912949,-87.84642029
60016|2943832137|1866610471,42.05162048,-87.86257172
60016|3009349461|3516346370,42.04748154,-87.84536743
60016|3033777728|1337673474,42.03694534,-87.88990021
60016|3044498865|1846725177,42.05756378,-87.85600281
60016|3281841154|3869275762,42.06459427,-87.86502075
60016|3296258537|2659102904,42.04353333,-87.84402466
60016|3300824245|3125021631,42.04291534,-87.84535980
60016|3390814252|4169892412,42.04684448,-87.85168457
60016|3484265648|0488223448,42.04461670,-87.84288788
60016|3499491636|3217620373,42.05699158,-87.84738922
60016|3661106995|0657066824,42.04567719,-87.85220337
60016|3902833491|0957918953,42.06381607,-87.86502838
60016|3946137728|2702641600,42.03144073,-87.88964081
60016|4094035589|3645907926,42.04222870,-87.85917664
60018|0066943417|2730489459,42.00752258,-87.87039185
60018|0107632534|2743684525,41.98060226,-87.86143494
60018|0108344025|0245458078,41.99578094,-87.86391449
60018|0133500079|0296121419,42.00607681,-87.88914490
60018|0154860360|3294086207,41.99079132,-87.85938263
60018|0176086212|1876329786,41.97698593,-87.86280823
60018|0221588530|3682887343,41.98923111,-87.86000824
60018|0236161704|2393657751,41.99086380,-87.86225891
60018|0237783737|1986170061,41.99064255,-87.85991669
60018|0249459806|2498003294,42.00321960,-87.87613678
60018|0304609183|0071052563,41.98913956,-87.85621643
60018|0320922597|3838304698,41.98902512,-87.86005402
60018|0358512388|1104985944,41.99346161,-87.87451935
60018|0399893456|0684598009,41.98987961,-87.86008453
60018|0435029120|3881110180,41.99078751,-87.85991669
60018|0451897889|0826549529,41.99699020,-87.87937164
60018|0452015787|3531268808,41.99243927,-87.86325073
60018|0488243145|1502313346,42.00978088,-87.88328552
60018|0609296949|4021623196,41.99367142,-87.86714935
60018|0758967565|2723777563,42.00312805,-87.86499023
60018|0880831734|1361809903,41.99581528,-87.86263275
60018|0911051914|0955429282,41.99089813,-87.86234283
60018|0932585977|1035526037,42.00205231,-87.86438751
60018|0977843939|1794895600,42.00934982,-87.89355469
60018|1053949710|0415938795,41.98989868,-87.86206818
60018|1140994726|2521066406,42.00872421,-87.91346741
60018|1189407929|1474616211,41.99417496,-87.86907196
60018|1230896787|3890245063,41.99696350,-87.87358856
60018|1251942200|3882366278,42.00825500,-87.93332672
60018|1275832536|2749781797,41.99094772,-87.86245728
60018|1370145301|1342749554,41.99076843,-87.86335754
60018|1668031140|4181009397,41.97686768,-87.86590576
60018|1836523737|4254167660,41.98868942,-87.87208557
60018|1856448098|0624467184,41.99662018,-87.87066650
60018|1888526945|4139156065,41.99076462,-87.86360168
60018|1905318080|3992654986,42.02717590,-87.90404510
60018|1930289241|1181299474,41.99085999,-87.86224365
60018|1963219276|2280070903,42.01127625,-87.87042236
60018|1999436867|2851379813,41.97803879,-87.86257935
60018|2027460083|2420277118,41.97839355,-87.87222290
60018|2057139066|1591637380,41.99149323,-87.86540222
60018|2187225043|0170133682,42.00624466,-87.89001465
60018|2217295316|1859179030,41.99373245,-87.86737823
60018|2234065551|0609342116,42.00258255,-87.87721252
60018|2283256878|3339620354,42.01273346,-87.87266541
60018|2310829671|3753444946,41.98050308,-87.86490631
60018|2401624872|4050673790,42.01408386,-87.87535095
60018|2415534813|1356162164,41.99097061,-87.86251831
60018|2426633411|0595794396,41.99094009,-87.85993195
60018|2434578291|0454213482,41.97484970,-87.86267853
60018|2442246208|3221403165,41.99100494,-87.86260223
60018|2477213880|2605369851,41.98059082,-87.86206818
60018|2709312717|0803643816,41.99116516,-87.86540222
60018|2754485208|1073031582,41.99868774,-87.87206268
60018|2790023609|0267173131,41.99699402,-87.87066650
60018|2825392372|3933137659,42.00873947,-87.89008331
60018|2827867751|1012523036,41.98067856,-87.85793304
60018|2827867751|1134351572,41.98067856,-87.85793304
60018|2827867751|3790487444,41.98067856,-87.85793304
60018|2827867751|3884148711,41.98067856,-87.85793304
60018|2877967154|0079115918,42.00522614,-87.86637115
60018|2909185856|0169007511,41.99084473,-87.86540222
60018|2961168011|1560564553,41.99580765,-87.86294556
60018|2975614524|0407939708,41.99640274,-87.88444519
60018|3076244203|3500919386,42.00999451,-87.87129974
60018|3087134539|3006984409,42.00075912,-87.86382294
60018|3095864126|2926605986,41.99093628,-87.86243439
60018|3155726985|2858617696,41.99376297,-87.86747742
60018|3220788818|1165718573,41.98739624,-87.87039185
60018|3221067930|1117744694,41.99843979,-87.88506317
60018|3257450484|3274099922,41.99945831,-87.86328125
60018|3347107077|3694002973,41.99093246,-87.86242676
60018|3364728971|1232901454,42.00934601,-87.89367676
60018|3371180162|2896749423,41.99076462,-87.86348724
60018|3413419542|3718645934,42.00576782,-87.86672211
60018|3429530968|4264328895,41.99566269,-87.86513519
60018|3515789143|2465007004,41.99784851,-87.88304901
60018|3539879469|3180267444,41.99084473,-87.86540222
60018|3585678221|1230223007,42.02102280,-87.87838745
60018|3589862759|3094001610,42.00965500,-87.88779449
60018|3616456531|0993759853,41.99096298,-87.86249542
60018|3693851630|2641452518,41.98596191,-87.87059021
60018|3701721218|3059859557,42.02124405,-87.88678741
60018|3709109752|2866608721,42.00748444,-87.88993073
60018|3712951621|0328855940,41.99365616,-87.86708832
60018|3815405935|3997545376,41.99488068,-87.87814331
60018|3886363373|0925491414,41.99743652,-87.88121033
60018|3926894068|0960081129,41.98045731,-87.86605072
60018|3933513539|4121436428,41.99103546,-87.86267090
60018|3967430167|3717264495,42.00915909,-87.89942169
60018|3970579528|0436293822,41.99864578,-87.88462830
60018|4031792987|2894785341,42.00000381,-87.89305878
60018|4067189252|1958715450,41.99235916,-87.86302948
60018|4112772157|3662340648,41.99357605,-87.86678314
60018|4224390434|0720407685,42.00053406,-87.87957764
60018|4235002659|0030560943,41.97771072,-87.86264801
60018|4235279972|2474756243,42.00104904,-87.89404297
60025|0037336469|1409935506,42.06069183,-87.79960632
60025|0523097133|3420956856,42.05495453,-87.82331848
60025|0714557383|3981236364,42.06577682,-87.84747314
60025|1108853135|3710216749,42.06696320,-87.85692596
60025|1166158471|0384952812,42.06269455,-87.80718231
60025|1347762996|2275172922,42.05497360,-87.82253265
60025|1444259558|2829281085,42.08307266,-87.86634064
60025|1634000004|3723990639,42.06187057,-87.84028625
60025|3361565266|1792895814,42.05543518,-87.80848694
60025|3638217477|3218372177,42.06577682,-87.84596252
60025|4145264995|0571556356,42.05520248,-87.81177521
60053|0078712302|3078441042,42.04856491,-87.82255554
60053|0281474131|1212973948,42.05380630,-87.80762482
60053|0341512381|2930274997,42.05004120,-87.80473328
60053|0373332319|1549383917,42.04585648,-87.79923248
60053|0552416870|4004878556,42.04669189,-87.79341125
60053|0623179652|0780006743,42.05038452,-87.81591034
60053|0626506034|0892370978,42.05018997,-87.79364777
60053|0661059393|2235833738,42.02968597,-87.78545380
60053|0874689113|3517438016,42.03677750,-87.78634644
60053|0966174421|0137814120,42.03558731,-87.79972076
60053|1067327333|0425746355,42.02646637,-87.77522278
60053|1075846110|0449128854,42.02638626,-87.78939056
60053|1096224356|2168434475,42.04302979,-87.79919434
60053|1157001806|4084552830,42.04438782,-87.80156708
60053|1238296046|1219811832,42.03903198,-87.76726532
60053|1780797247|4102698063,42.04768753,-87.81980133
60053|1816205103|0725473349,42.03815079,-87.77166748
60053|2042908183|0439766246,42.04608536,-87.81943512
60053|2328734214|0286296296,42.03398895,-87.80065155
60053|2513011761|1647927718,42.05311584,-87.82180786
60053|2520049837|3390825444,42.04673004,-87.80917358
60053|2575831222|3882563516,42.05429459,-87.80146027
60053|2606865827|0038671300,42.03789139,-87.79912567
60053|2898136672|1585524359,42.04824066,-87.79933167
60053|2970533343|2697174608,42.04628754,-87.79925537
60053|3013702075|0556143577,42.05274963,-87.81578064
60053|3019310079|1569253525,42.03501511,-87.78350830
60053|3176932599|2556621741,42.03826523,-87.78492737
60053|3391887863|0323847208,42.02401733,-87.78741455
60053|3503921214|3629597542,42.03246689,-87.78195190
60053|3831030467|2145539576,42.03897858,-87.76700592
60053|3905944632|3461351434,42.04990768,-87.80956268
60068|0003283735|3240167256,42.00511551,-87.84955597
60068|0005396045|0883553148,41.98975754,-87.82414246
60068|0024846947|3165522254,42.03975296,-87.84830475
60068|0049081001|3856815334,41.99625778,-87.83004761
60068|0070703311|0279741174,41.99713516,-87.84808350
60068|0082779104|3840338873,42.00797653,-87.82260132
60068|0103146744|2775039301,41.98693848,-87.83279419
60068|0112480962|0856493971,42.00694275,-87.83071136
60068|0117772804|0936026726,42.00126266,-87.82955933
60068|0121802441|1939763313,42.01086426,-87.84195709
60068|0125885880|3667336844,41.99647903,-87.83875275
60068|0149077036|2145780129,41.99551010,-87.82798767
60068|0149629697|4072511124,42.00202942,-87.82956696
60068|0173059581|3178681432,41.99946594,-87.83921814
60068|0189632253|2411502703,42.01111603,-87.82270050
60068|0191384643|2393267070,41.99612808,-87.82621765
60068|0207429492|1255553419,42.02539825,-87.85726166
60068|0230327810|0229437637,41.98686981,-87.83162689
60068|0248709144|3364342515,42.00346375,-87.82937622
60068|0256824689|1898181622,41.98919678,-87.82662964
60068|0271191837|0550378694,41.99694061,-87.83192444
60068|0300331752|0933294219,42.00054932,-87.84796143
60068|0300508916|0991898754,42.03831482,-87.84081268
60068|0305329286|2149353967,42.02385330,-87.84313202
60068|0319286977|2062179236,42.00468826,-87.83435822
60068|0339874096|0592205691,42.00790787,-87.83589172
60068|0348068745|3499580359,42.02366257,-87.82107544
60068|0351035397|1317427593,41.99290085,-87.82743835
60068|0386669063|3867598193,41.98569489,-87.82917786
60068|0400417837|1028407855,42.00347137,-87.85026550
60068|0420951805|2530553479,42.04338837,-87.84896851
60068|0428569896|2235116123,41.98822403,-87.83403015
60068|0433249520|4114216946,41.99338531,-87.83773041
60068|0434742934|2442701921,41.99748993,-87.83122253
60068|0457593840|2214254583,41.99108505,-87.83672333
60068|0461280426|0643018408,42.00077820,-87.83593750
60068|0461280426|0738343023,42.00077820,-87.83593750
60068|0461520855|2281939169,42.00712585,-87.83910370
60068|0500893137|0722891886,41.99094772,-87.84078217
60068|0502108233|4037257129,41.98976135,-87.82897949
60068|0521246553|1770658629,41.99741364,-87.84080505
60068|0529466104|2936837464,42.02489090,-87.85883331
60068|0534456677|4218234396,41.99686050,-87.82165527
60068|0571611436|1994528231,42.00933838,-87.83911133
60068|0589295690|4122771344,41.98554611,-87.82547760
